,Start_Date,Transit_time,v_r,Mass,rel_wid,A,w,rho,n_pts,gamma,a
2,1997-04-07 17:26:59.000,304381.0,1133.7,1e+16,1.1519173063162575,180414483738561.12,406.75,5.085833311080933,12,1.5347074960795198e-08,-0.003015729251788065
6,1997-08-30 06:56:41.000,367398.99999999994,557.61,1700000000000000.0,0.7853981633974483,89070356774969.36,441.25,7.504999955495198,12,6.576988113688398e-08,-0.0012891012403837246
8,1997-09-28 06:02:03.120,295076.0,603.39,4000000000000000.0,0.7853981633974483,89070356774969.36,448.9166666666667,5.416666626930237,12,2.017425009828986e-08,-0.000852138481152276
9,1997-10-06 23:13:39.440,341180.00000000006,749.38,2900000000000000.0,0.7853981633974483,89070356774969.36,346.0,14.178333282470703,12,7.283707001782349e-08,-0.0005421752690285415
10,1997-10-23 16:45:38.800,285261.0,706.03,8200000000000000.0,0.7853981633974483,89070356774969.36,376.6666666666667,16.274999777475994,12,2.9568713089897525e-08,-0.0007147030579478805
12,1997-12-06 18:05:36.800,345263.0,682.83,2e+16,0.7853981633974483,89070356774969.36,375.75,6.03416661421458,12,4.494822915801487e-09,-0.001568956567578299
14,1998-01-03 05:32:03.840,329276.0,650.72,5500000000000000.0,0.7853981633974483,89070356774969.36,361.5,5.058333277702332,12,1.3701560576020955e-08,-0.0011279073817496612
16,1998-01-25 17:41:59.640,353880.0,1319.9,1.1e+16,1.1519173063162575,180414483738561.12,380.8333333333333,9.735833406448364,12,2.6708158267617387e-08,-0.002721654471852155
19,1998-04-29 18:46:12.960,209627.0,1679.8,1e+16,1.1519173063162575,180414483738561.12,326.6666666666667,10.09500002861023,12,3.046279983867238e-08,-0.0007751111769748348
20,1998-05-02 16:17:35.640,150144.0,1358.3,7700000000000000.0,1.1519173063162575,180414483738561.12,605.3636363636364,3.5763636502352627,11,1.4015688584249197e-08,-0.0031654817651484896
24,1999-07-04 00:47:21.440,245558.0,826.23,8400000000000000.0,0.7853981633974483,89070356774969.36,459.8333333333333,2.120833347241084,12,3.7614261694868325e-09,-0.0020518185957205753
25,1999-07-24 03:32:04.200,307675.0,512.63,7500000000000000.0,0.7853981633974483,89070356774969.36,467.6363636363636,2.847272742878307,11,5.6557876021424975e-09,-0.0004677546263245465
29,2000-01-18 20:20:01.640,333598.0,1132.6,6900000000000000.0,1.1519173063162575,180414483738561.12,316.8333333333333,5.488333344459534,12,2.4002411819073747e-08,-0.0018421387199058436
34,2000-04-29 09:23:25.760,297394.0,704.87,1.1e+16,0.7853981633974483,89070356774969.36,409.5,7.547499974568685,12,1.0221996300137321e-08,-0.0014149623043245357
36,2000-05-13 16:37:51.920,282128.0,818.34,4100000000000000.0,0.7853981633974483,89070356774969.36,584.4545454545455,8.035454446619207,11,2.9197917090954637e-08,-0.002542377434309296
38,2000-05-21 10:53:46.160,263173.0,911.35,9000000000000000.0,1.1519173063162575,180414483738561.12,407.25,6.28333334128062,12,2.1067406895891154e-08,-0.0016655205884101968
39,2000-05-31 13:36:11.120,375828.0,569.63,1900000000000000.0,0.7853981633974483,89070356774969.36,557.2727272727273,2.5127272605896,11,1.9702304863793685e-08,-0.0017003325250950626
41,2000-07-07 14:40:49.160,299950.0,731.72,1800000000000000.0,0.7853981633974483,89070356774969.36,392.0833333333333,5.540833353996277,12,4.585934714112662e-08,-0.0008050872371919378
45,2000-07-23 09:24:25.880,318933.99999999994,792.55,3100000000000000.0,0.7853981633974483,89070356774969.36,447.7272727272728,6.9372727654197,11,3.3338984050738756e-08,-0.0017678752823017737
46,2000-07-25 08:06:24.440,273215.0,674.53,1600000000000000.0,0.7853981633974483,89070356774969.36,359.25,2.745000004768372,12,2.555922324104165e-08,-0.0003761015134405869
51,2000-10-10 01:59:33.440,309626.0,1239.3,1.4e+16,1.1519173063162575,180414483738561.12,322.5,18.427499930063885,12,3.971932642084164e-08,-0.0011965629991083256
52,2000-10-25 12:49:10.160,288649.0,1196.1,1.7e+16,1.1519173063162575,180414483738561.12,405.6666666666667,4.56416670481364,12,8.10169835766252e-09,-0.0038715969020958313
53,2001-01-20 22:49:35.840,295824.0,2205.0,1.8e+16,1.1519173063162575,180414483738561.12,312.0833333333333,17.05166681607564,12,2.8586291985124413e-08,-0.0027112521072666304
56,2001-03-25 20:06:25.520,248014.0,910.79,3300000000000000.0,1.1519173063162575,180414483738561.12,386.0833333333333,4.31416670481364,12,3.944995164931361e-08,-0.0004219183674784404
57,2001-03-28 16:00:40.200,219559.0,959.86,3000000000000000.0,1.1519173063162575,180414483738561.12,622.3333333333334,3.9758333762486777,12,3.999175036794603e-08,-0.002349457789393513
58,2001-03-29 13:03:40.240,226579.00000000003,1156.1,2800000000000000.0,1.1519173063162575,180414483738561.12,482.6666666666667,5.684999982515971,12,6.126831389635177e-08,-0.0009916971577701383
60,2001-04-06 21:17:29.320,146549.99999999997,1723.5,8400000000000000.0,1.1519173063162575,180414483738561.12,470.5833333333333,5.56250003973643,12,1.998270299215334e-08,-0.0019382100076185658
63,2001-07-05 10:57:28.400,313351.0,701.2,7000000000000000.0,0.7853981633974483,89070356774969.36,434.1666666666667,8.700833360354105,12,1.8517744833022773e-08,-0.0014465539480431775
