,Start_Date,Transit_time,v_r,Mass,rel_wid,A,rho_g_km3,w_km_s,n_valid,error
1,1997-02-07 07:35:12.440000+00:00,66.41305555555556,705.35,4100000000000000.0,0.7853981633974483,89070356774969.36,1.3972502341410694e-08,388.4621848739496,,
2,1997-04-07 17:26:59+00:00,84.55027777777778,1133.7,1e+16,1.1519173063162575,180414483738561.12,8.49138883371914e-09,406.21008403361344,,
3,1997-05-12 09:00:08.640000+00:00,71.9975,774.63,4200000000000000.0,0.7853981633974483,89070356774969.36,2.043253186713948e-08,295.2857142857143,,
7,1997-09-18 01:21:42.760000+00:00,91.63805555555555,545.09,2600000000000000.0,0.7853981633974483,89070356774969.36,3.837904166227228e-08,343.8235294117647,,
8,1997-09-28 06:02:03.120000+00:00,81.96555555555555,603.39,4000000000000000.0,0.7853981633974483,89070356774969.36,9.066254139367272e-09,449.6386554621849,,
9,1997-10-06 23:13:39.440000+00:00,94.77222222222224,749.38,2900000000000000.0,0.7853981633974483,89070356774969.36,2.3698677637941695e-08,346.1512605042017,,
10,1997-10-23 16:45:38.800000+00:00,79.23916666666666,706.03,8200000000000000.0,0.7853981633974483,89070356774969.36,2.7427537058682278e-08,377.0258620689655,,
11,1997-11-04 08:46:51.440000+00:00,67.21888888888888,1011.2,7500000000000000.0,1.1519173063162575,180414483738561.12,1.6645647072231068e-08,311.07563025210084,,
12,1997-12-06 18:05:36.800000+00:00,95.90638888888888,682.83,2e+16,0.7853981633974483,89070356774969.36,1.0144144053290872e-08,375.6806722689076,,
14,1998-01-03 05:32:03.840000+00:00,91.46555555555555,650.72,5500000000000000.0,0.7853981633974483,89070356774969.36,8.475783531020669e-09,361.73949579831935,,
15,1998-01-17 08:52:53.160000+00:00,93.11833333333334,608.05,1600000000000000.0,0.7853981633974483,89070356774969.36,2.051012926632671e-08,324.08474576271186,,
16,1998-01-25 17:41:59.640000+00:00,98.3,1319.9,1.1e+16,1.1519173063162575,180414483738561.12,1.6323879208517074e-08,380.925,,
19,1998-04-29 18:46:12.960000+00:00,58.22972222222222,1679.8,1e+16,1.1519173063162575,180414483738561.12,1.6750244720094343e-08,326.7142857142857,,
20,1998-05-02 16:17:35.640000+00:00,41.70666666666666,1358.3,7700000000000000.0,1.1519173063162575,180414483738561.12,6.064554687514024e-09,608.0504201680673,,
28,1999-06-24 16:15:21.360000+00:00,77.74388888888889,1434.8,2300000000000000.0,1.1519173063162575,180414483738561.12,1.5983981333700816e-08,297.56666666666666,,
29,1999-07-04 00:47:21.440000+00:00,68.21055555555556,826.23,8400000000000000.0,0.7853981633974483,89070356774969.36,3.5160882525612914e-09,460.14166666666665,,
30,1999-07-24 03:32:04.200000+00:00,85.46527777777777,512.63,7500000000000000.0,0.7853981633974483,89070356774969.36,4.786056032904123e-09,467.3728813559322,,
32,1999-07-28 12:43:57.240000+00:00,78.26722222222222,802.39,190000000000000.0,0.7853981633974483,89070356774969.36,7.020414139635422e-09,381.2689075630252,,
